x	y	y_error
0.35	0.022727272727272728	0.06602522078550183
0.44999999999999996	0.07196969696969698	0.07332421139808237
0.55	0.07575757575757576	0.03707057762463177
0.6499999999999999	0.10416666666666667	0.04313442686860067
0.75	0.13825757575757577	0.07465366861850073
0.8500000000000001	0.17803030303030304	0.011701666298277263
0.95	0.17992424242424243	0.052498320966745754
1.05	0.24053030303030304	0.06835613724327802
1.15	0.25946969696969696	0.06901267162265795
1.25	0.2916666666666667	0.01216173229074606
1.35	0.2935606060606061	0.08017107458912184
1.45	0.36553030303030304	0.06225827894984484
1.55	0.35984848484848486	0.05187996392934846
1.6500000000000001	0.4696969696969697	0.041180223984726316
1.75	0.44696969696969696	0.05965447452810807
1.85	0.5018939393939394	0.025588741742393686
1.95	0.5473484848484849	0.012806603565957766
2.05	0.5416666666666666	0.07999827172835897
2.15	0.5681818181818182	0.07666115217518321
2.25	0.6231060606060607	0.0711256814471925
2.3499999999999996	0.6496212121212122	0.09355936438506826
2.4499999999999997	0.7272727272727273	0.05800255543884103
2.55	0.6931818181818182	0.09559982050095814
2.65	0.7272727272727273	0.03858321079866782
2.75	0.7329545454545455	0.0774145264439271
2.8499999999999996	0.7310606060606061	0.02385806474051194
2.9499999999999997	0.8996212121212122	0.09722785907380602
3.05	0.875	0.017487615223935438
3.15	0.9564393939393939	0.06943025955940216
3.25	1.	0.08363204181964828
